Layer name,IFMAP height,IFMAP width,Filter height,Filter width,Channels,Num filter,Stride height,Stride width,
Linear1,197,9,1,9,1,768,1,1,
QKT,197,1,1,1,1,197,1,1,
QKTV,197,2,1,2,1,64,1,1,
Linear2,197,9,1,9,1,768,1,1,
mlp-FF-L1,197,9,1,9,1,3072,1,1,
mlp-FF-L2,197,38,1,38,1,768,1,1,
