Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,batch size
Linear1,1024,1600,1,1600,1,1600,1,
QKT,1024,64,1,64,1,1024,1,
QKTV,1024,1024,1,1024,1,64,1,
Linear2,1024,1600,1,1600,1,1600,1,
mlp-FF-L1,1024,1600,1,1600,1,3072,1,
mlp-FF-L2,1024,3072,1,3072,1,1600,1,
