Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,batch size
Linear1,2048,4096,1,4096,1,4096,1,
QKT,2048,128,1,128,1,2048,1,
QKTV,2048,2048,1,2048,1,128,1,
Linear2,2048,4096,1,4096,1,4096,1,
mlp-FF-L1,2048,4096,1,4096,1,11008,1,
mlp-FF-L2,2048,11008,1,11008,1,4096,1,
